Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
62	2	12	283.543326160796	261.117696025565	0	254	3.065	3.043	NA	0.268	NA	-64.802	-2.249
63	2	13	283.705957654119	261.824325589523	0	253	3.305	3.276	NA	0.241	NA	-66.795	-1.993
64	2	14	284.772949108206	259.787613870226	0	255	3.515	3.483	NA	0.209	NA	-62.572	4.223
65	2	15	284.243828936487	259.04038382002	0	255	3.787	3.752	NA	0.272	NA	-63.631	-1.059
66	2	16	282.18468244987	258.877685329109	0	242	4.017	3.979	NA	0.23	NA	-64.513	-0.882
67	2	17	283.995042870454	259.603136523254	0	244	4.254	4.209	NA	0.237	NA	-70.509	-5.996
68	2	18	283.457899064429	261.245222184502	0	255	4.484	4.426	NA	0.229	NA	-75.629	-5.121
69	2	19	283.998094938576	258.762549310125	0	255	4.75	4.689	NA	0.267	NA	-67.663	7.966
70	2	20	283.288615383811	258.989905917495	0	250	4.998	4.912	NA	0.248	NA	-84.418	-16.755
71	2	21	283.782223966971	257.980651059233	0	254	5.208	5.104	NA	0.209	NA	-83.101	1.317
72	2	22	284.652311015204	258.371473616764	0	255	5.427	5.319	NA	0.22	NA	-72.066	11.034
73	2	23	282.604302638806	256.911910160407	0	253	5.656	5.526	NA	0.229	NA	-86.195	-14.128
74	2	24	284.068891900487	257.298826486111	0	249	5.903	5.755	NA	0.247	NA	-83.928	2.267
75	2	25	285.126545622721	259.492927923016	0	244	6.109	5.928	NA	0.206	NA	-96.028	-12.1
76	2	26	285.277105660282	258.703680706471	0	253	6.353	6.147	NA	0.244	NA	-90.532	5.496
77	2	27	284.982202815168	255.64643350523	0	249	6.574	6.354	NA	0.221	NA	-85.684	4.848
78	2	28	285.555672371037	258.350894768022	0	255	6.798	6.546	NA	0.225	NA	-97.338	-11.654
79	2	29	282.486450179346	258.914000218101	0	232	7.023	6.738	NA	0.225	NA	-98.151	-0.814
80	2	30	283.916966536097	256.2423922415	0	255	7.243	6.926	NA	0.22	NA	-99.218	-1.067
81	2	31	285.042267330162	257.553022319771	0	255	7.475	7.135	NA	0.232	NA	-94.311	4.907
