Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
62	2	12	284.2220916887	260.049689900287	0	254	3.065	3.043	NA	0.268	NA	-64.802	-2.249
63	2	13	281.819434129819	259.254456677534	0	253	3.305	3.276	NA	0.241	NA	-66.795	-1.993
64	2	14	284.661899674967	260.54716050683	0	255	3.515	3.483	NA	0.209	NA	-62.572	4.223
65	2	15	283.603735923775	261.454979230247	0	255	3.787	3.752	NA	0.272	NA	-63.631	-1.059
66	2	16	284.755613172039	259.961428801693	0	242	4.017	3.979	NA	0.23	NA	-64.513	-0.882
67	2	17	284.724521045275	259.678417348862	0	244	4.254	4.209	NA	0.237	NA	-70.509	-5.996
68	2	18	283.662002307035	260.082368146323	0	255	4.484	4.426	NA	0.229	NA	-75.629	-5.121
69	2	19	283.966101849332	257.481691690296	0	255	4.75	4.689	NA	0.267	NA	-67.663	7.966
70	2	20	286.088214489304	259.611602791063	0	250	4.998	4.912	NA	0.248	NA	-84.418	-16.755
71	2	21	282.530485321835	257.135099686727	0	254	5.208	5.104	NA	0.209	NA	-83.101	1.317
72	2	22	285.653544361964	258.321990310058	0	255	5.427	5.319	NA	0.22	NA	-72.066	11.034
73	2	23	286.035778828561	257.217275493741	0	253	5.656	5.526	NA	0.229	NA	-86.195	-14.128
74	2	24	282.927013773367	258.646086463012	0	249	5.903	5.755	NA	0.247	NA	-83.928	2.267
75	2	25	282.252800347991	257.696314731762	0	244	6.109	5.928	NA	0.206	NA	-96.028	-12.1
76	2	26	283.922800551273	257.208868528977	0	253	6.353	6.147	NA	0.244	NA	-90.532	5.496
77	2	27	285.210592100672	256.920099181123	0	249	6.574	6.354	NA	0.221	NA	-85.684	4.848
78	2	28	284.671822281763	255.355347060829	0	255	6.798	6.546	NA	0.225	NA	-97.338	-11.654
79	2	29	285.331226327322	258.280134164095	0	232	7.023	6.738	NA	0.225	NA	-98.151	-0.814
