Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
62	2	12	283.137506022044	259.109346993424	0	254	3.065	3.043	NA	0.268	NA	-64.802	-2.249
63	2	13	285.50102711115	262.531203783177	0	253	3.305	3.276	NA	0.241	NA	-66.795	-1.993
64	2	14	285.284555148616	260.47446701175	0	255	3.515	3.483	NA	0.209	NA	-62.572	4.223
65	2	15	285.246449788108	260.362699148774	0	255	3.787	3.752	NA	0.272	NA	-63.631	-1.059
66	2	16	284.535164148159	261.497450579122	0	242	4.017	3.979	NA	0.23	NA	-64.513	-0.882
67	2	17	285.321490289345	261.01366125755	0	244	4.254	4.209	NA	0.237	NA	-70.509	-5.996
68	2	18	282.55258773607	261.33408382225	0	255	4.484	4.426	NA	0.229	NA	-75.629	-5.121
69	2	19	284.297727022201	258.539851724304	0	255	4.75	4.689	NA	0.267	NA	-67.663	7.966
70	2	20	282.647776016638	257.079312532619	0	250	4.998	4.912	NA	0.248	NA	-84.418	-16.755
71	2	21	284.54073904182	258.499390925325	0	254	5.208	5.104	NA	0.209	NA	-83.101	1.317
72	2	22	283.410729848109	259.299581561081	0	255	5.427	5.319	NA	0.22	NA	-72.066	11.034
73	2	23	282.450751163661	259.052148248963	0	253	5.656	5.526	NA	0.229	NA	-86.195	-14.128
74	2	24	282.597756423883	257.463453353621	0	249	5.903	5.755	NA	0.247	NA	-83.928	2.267
75	2	25	283.762297316231	257.834900763035	0	244	6.109	5.928	NA	0.206	NA	-96.028	-12.1
76	2	26	284.027662588388	257.604976178408	0	253	6.353	6.147	NA	0.244	NA	-90.532	5.496
77	2	27	282.506520643175	257.975103947334	0	249	6.574	6.354	NA	0.221	NA	-85.684	4.848
78	2	28	284.958289421372	258.613288736202	0	255	6.798	6.546	NA	0.225	NA	-97.338	-11.654
79	2	29	282.932587287255	256.696919569112	0	232	7.023	6.738	NA	0.225	NA	-98.151	-0.814
80	2	30	284.416923282683	256.578189884789	0	255	7.243	6.926	NA	0.22	NA	-99.218	-1.067
81	2	31	282.467165114529	257.794531836495	0	255	7.475	7.135	NA	0.232	NA	-94.311	4.907
82	2	32	283.782424510978	257.035701669753	0	255	7.719	7.327	NA	0.244	NA	-108.128	-13.817
83	2	33	282.749231590457	257.465921929285	0	240	7.942	7.514	NA	0.223	NA	-103.385	4.743
84	2	34	285.210157672301	256.872693125196	0	255	8.152	7.68	NA	0.211	NA	-110.096	-6.711
85	2	35	282.57623701717	257.325548444316	0	252	8.403	7.879	NA	0.251	NA	-110.677	-0.581
86	2	36	283.287164867356	256.953754190028	0	249	8.656	8.061	NA	0.252	NA	-117.636	-6.959
87	2	37	283.036445169725	254.472091183692	0	242	8.868	8.234	NA	0.212	NA	-111.115	6.521
88	2	38	285.103226406105	256.243511774004	0	255	9.113	8.449	NA	0.245	NA	-104.161	6.954
89	2	39	283.702446524478	253.139746073835	0	255	9.379	8.646	NA	0.266	NA	-119.233	-15.072
90	2	40	281.968993357435	254.758788645484	0	255	9.617	8.837	NA	0.238	NA	-114.895	4.339
91	2	41	282.617409806423	254.605985640399	0	251	9.859	9.018	NA	0.242	NA	-120.56	-5.666
92	2	42	282.596729274757	252.801485402256	0	254	10.159	9.221	NA	0.3	NA	-127.62	-7.06
93	2	43	284.777605154574	252.818668463416	0	255	10.407	9.405	NA	0.248	NA	-123.444	4.176
94	2	44	282.744686998866	255.233348261066	0	252	10.695	9.611	NA	0.288	NA	-127.017	-3.572
95	2	45	283.070682621934	253.274965438388	0	239	10.978	9.831	NA	0.283	NA	-122.728	4.289
96	2	46	282.830399169177	251.924595086105	0	255	11.206	9.978	NA	0.229	NA	-134.384	-11.656
97	2	47	280.280454639561	253.902950661793	0	255	11.513	10.199	NA	0.307	NA	-129.972	4.412
98	2	48	281.31006998767	252.138219228953	0	255	11.815	10.394	NA	0.302	NA	-136.831	-6.86
99	2	49	279.945023616374	254.487439110234	0	243	12.114	10.618	NA	0.298	NA	-129.738	7.094
100	2	51	280.710061078839	253.839196241774	0	237	12.396	10.814	NA	0.282	NA	-135.345	-5.608
101	3	1	186.262193357296	429.953629161619	0	255	0	0	NA	NA	NA	NA	NA
102	3	2	184.260429426551	431.72206305778	0	255	0.166	0.166	NA	0.166	NA	-4.621	NA
103	3	3	185.621183311425	428.341639777973	0	255	0.431	0.431	NA	0.265	NA	0.603	5.225
104	3	4	186.955000929981	429.64109536957	0	255	0.65	0.648	NA	0.219	NA	5.766	5.162
105	3	5	187.559573008299	432.239094616488	0	249	0.891	0.888	NA	0.241	NA	9.237	3.472
106	3	6	187.211535725117	431.482868500911	0	255	1.081	1.078	NA	0.19	NA	6.188	-3.049
107	3	7	188.230787818573	430.852151824288	0	255	1.341	1.332	NA	0.26	NA	-9.057	-15.245
108	3	8	186.057747283913	429.438648895547	0	255	1.553	1.544	NA	0.212	NA	3.154	12.21
109	3	9	187.007816765524	431.311898737624	0	255	1.791	1.782	NA	0.238	NA	2.277	-0.877
110	3	10	185.519497058295	432.096818199746	0	248	2.004	1.994	NA	0.212	NA	6.3	4.023
111	3	11	188.61190180856	431.350659515254	0	255	2.207	2.198	NA	0.204	NA	1.232	-5.068
112	3	12	189.023891396239	432.132017712869	0	242	2.439	2.43	NA	0.232	NA	5.24	4.008
113	3	13	187.976316890918	430.112479581922	0	255	2.684	2.673	NA	0.245	NA	-3.384	-8.624
114	3	14	188.580254993424	432.03443856784	0	247	2.944	2.932	NA	0.26	NA	7.337	10.721
